Date,Price,Open,High,Low,Chg%
2012-04-10,1659.5,1649,1661.7,1636.2,0.0104
2012-04-11,1659,1654.8,1659.7,1654.7,-0.0003
2012-04-12,1679.5,1660,1680.1,1650,0.0124
2012-04-13,1659.1,1673.3,1674.8,1650,-0.0121
2012-04-16,1648.7,1650.8,1656.8,1641.2,-0.0063
2012-04-17,1650.3,1652,1653,1637,0.001
2012-04-18,1638.8,1653.2,1653.3,1638.1,-0.007
2012-04-19,1640.6,1642.1,1653.1,1632,0.0011
2012-04-20,1642.1,1641.7,1645.6,1640.9,0.0009
2012-04-23,1631.9,1642.4,1642.4,1625.1,-0.0062
2012-04-24,1643,1634.4,1648.6,1634.4,0.0068
2012-04-25,1641.4,1641.3,1643.8,1626.9,-0.001
2012-04-26,1659.6,1658.3,1658.7,1658.3,0.0111
2012-04-27,1664,1654.5,1666.9,1654,0.0027
2012-04-30,1663.4,1663,1665.7,1653,-0.0004
2012-05-01,1661.7,1665,1670.5,1661.7,-0.001
2012-05-02,1653.4,1659.2,1659.2,1648.3,-0.005
2012-05-03,1634.2,1651.2,1652.2,1631.3,-0.0116
2012-05-04,1644.7,1635.7,1645.6,1629.4,0.0064
2012-05-07,1638.6,1637.9,1640,1632.6,-0.0037
2012-05-08,1604,1636.7,1636.7,1596,-0.0211
2012-05-09,1593.7,1595.3,1595.3,1586.3,-0.0064
2012-05-10,1595.1,1594.2,1594.4,1592.4,0.0009
2012-05-11,1583.6,1586.1,1589.6,1586.1,-0.0072
2012-05-14,1560.6,1563,1563.1,1555.5,-0.0145
2012-05-15,1556.8,1555.4,1558.3,1542.4,-0.0024
2012-05-16,1536.2,1541.4,1541.4,1528.5,-0.0132
2012-05-17,1574.5,1546.9,1579,1546.9,0.0249
2012-05-18,1591.6,1573.7,1590.8,1568.2,0.0109
2012-05-21,1588.4,1591.9,1594.1,1591.9,-0.002
2012-05-22,1576.3,1575.7,1591.1,1568.4,-0.0076
2012-05-23,1548.1,1538.2,1538.2,1534.4,-0.0179
2012-05-24,1557.3,1559,1569.4,1551.5,0.0059
2012-05-25,1568.8,1558.2,1568,1557.3,0.0074
2012-05-29,1548.6,1574.7,1582.5,1574.7,-0.0129
2012-05-30,1563.4,1553.9,1569,1530.4,0.0096
2012-05-31,1562.6,1562.7,1572.6,1551.8,-0.0005
2012-06-01,1620.5,1560,1630,1545.5,0.0371
2012-06-04,1612.2,1623,1627.9,1609,-0.0051
2012-06-05,1615.2,1619.3,1622.7,1612.9,0.0019
2012-06-06,1632.8,1619.7,1639.7,1616.5,0.0109
2012-06-07,1586.6,1622.6,1627.2,1581.9,-0.0283
2012-06-08,1590.1,1589.9,1593.9,1566.5,0.0022
2012-06-11,1595.5,1608,1608,1583,0.0034
2012-06-12,1612.7,1594.1,1612.8,1588.5,0.0108
2012-06-13,1618.1,1608.2,1622.4,1608.2,0.0033
